metric,value
algorithm,round-robin
num_servers,3
num_clients,6
total_requests_sent,1395
total_responses_received,1395
packet_loss_pct,0
avg_app_rtt_sec,0.0394883
server0_requests_routed,465
server1_requests_routed,465
server2_requests_routed,465
server0_requests_served,465
server1_requests_served,465
server2_requests_served,465
