metric,value
algorithm,adaptive
num_servers,3
num_clients,8
sim_time_sec,40
total_requests_sent,3138
total_responses_received,3137
packet_loss_pct,0.0318674
avg_app_rtt_sec,0.0472619
server0_requests_routed,1143
server1_requests_routed,1275
server2_requests_routed,719
server0_requests_served,1143
server1_requests_served,1275
server2_requests_served,719
