metric,value
algorithm,weighted
num_servers,3
num_clients,8
sim_time_sec,40
total_requests_sent,3138
total_responses_received,3136
packet_loss_pct,0.0637349
avg_app_rtt_sec,0.0871001
server0_requests_routed,1394
server1_requests_routed,1046
server2_requests_routed,697
server0_requests_served,1394
server1_requests_served,1046
server2_requests_served,697
