metric,value
algorithm,adaptive
num_servers,3
num_clients,8
total_requests_sent,3113
total_responses_received,3111
packet_loss_pct,0.0642467
avg_app_rtt_sec,0.0352768
server0_requests_routed,1582
server1_requests_routed,974
server2_requests_routed,557
server0_requests_served,1582
server1_requests_served,974
server2_requests_served,557
