metric,value
algorithm,adaptive
num_servers,3
num_clients,8
total_requests_sent,3113
total_responses_received,3113
packet_loss_pct,0
avg_app_rtt_sec,0.0481084
server0_requests_routed,1109
server1_requests_routed,1275
server2_requests_routed,729
server0_requests_served,1109
server1_requests_served,1275
server2_requests_served,729
